smiles,score
Cc1cc(/C=C/C(=O)NCC2(NC(=O)c3nn(C)cc3Br)CCOC2)ccc1OC(C)C,-19.184497
O=C(CCc1cn[nH]c1)NC1COCCC1NC(=O)c1c[nH]c2ncncc12,-35.149385
CN(CC1CCCN1C(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)c1ccc(C(N)=O)cc1,-34.784328
O=C(NC12CC1CN(C(=O)c1nc3cnccc3s1)C2)c1cc2ccncc2s1,-29.659261
O=C1CNC(=O)c2cc(C(=O)NC3CCN(C(=O)c4ccc5c(=O)[nH][nH]c(=O)c5c4)C3)ccc2N1,-28.899948
NC(=O)c1ccc(C(=O)NC2CN(C(=O)CC3CCCC4CC34)C2)cc1,-34.30139
NC(=O)c1ccc(/C=C/C(=O)NCC2CN(C(=O)c3cc4ccc(F)cc4[nH]c3=O)C2)cc1,-33.18975
Cc1ccc(CCS(=O)(=O)NC(=O)c2ccc(F)c(F)c2)cc1,-15.670386
NC(=O)c1ccc(C(=O)NCCNC(=O)c2cc3c(=O)[nH]c4ccccc4c3s2)cc1,-34.225384
Nc1ncnc2cc(C(=O)NC34CC(NC(=O)Cc5cccc6cccnc56)(C3)C4)ccc12,-36.191277
NC(=O)c1cc(S(=O)(=O)NCC(=O)NCC2CCN(C(=O)c3ccc4c(c3)C(=O)NCC(=O)N4)C2)c[nH]1,-30.111386
Cc1ccc(C(O)C(C)n2cc(C(C)NC(=O)c3cc(NC(=O)CC(C)(C)C)ccc3Cl)nn2)cc1,-0.505361
CC(CNC(=O)C(NC(N)=O)C(C)(C)C)NC(=O)c1ccncc1F,-25.64772
Nc1ncnc2cc(C(=O)N3CC4CC(NC(=O)c5c[nH]c6cc(Cl)ccc56)C3C4)ccc12,-36.637012
COC(=O)c1cncc(C(=O)N2CCCC2C(C)NC(=O)c2sc(-c3ccc(OC)cc3F)nc2C)c1,-13.935052
Cn1cc(CCNc2ncnc3c(Br)csc23)c2ccccc21,-24.063251
C=C(C)c1cccc2c(C(C)=O)c[nH]c12,-22.569953
Cc1ccc(N2CCC(n3cc(-c4ccnn4C4CC4(F)F)nn3)C2=O)cc1,-16.550326
CN(CC1(NC(=O)c2ccc(S(N)(=O)=O)cc2)CC1)C(=O)/C=C/c1ccc(C(N)=O)o1,-44.186817
CN(CCCNC(=O)C(C)(C)c1ccccc1Cl)C(=O)c1ccco1,-19.277619
NC(=O)c1ccc(/C=C/C(=O)NC2CC(NC(=O)Cc3ccc(-n4ccnc4)cc3)C2)o1,-31.254504
O=C1CCC(C(=O)Nc2cccc(OCC3CCCO3)c2)O1,-22.226659
CCc1nocc1C(=O)NC1CCN(C(=O)c2cc3cn[nH]c3cn2)C1C,-22.164862
NC(=O)c1ccc(/C=C/C(=O)NCC2CCN2C(=O)c2ccc3c(c2)oc2ccccc23)cc1,-32.286616
COc1ccc(NC(=O)C(C)Sc2nncn2CCCN(C)C)cc1Cl,-8.892024
CCC(F)(F)CC(=O)N1CCC2(CC1)CN(C)C(=O)O2,-7.507912
CN1Cc2cc(C(=O)NC3CCCC3NC(=O)c3ccnc4ccc(O)cc34)ccc2NC1=O,-28.649062
NC(=O)c1ccc(C(=O)NC2CC3CC2N(C(=O)c2ccc4ccncc4c2)C3)cc1,-43.42
CCS(=O)(=O)c1ccc(O)c(NC(=O)C2(C)CCCC3(C)C4CCC(C(C)C)=CC4=CCC23)c1,-6.131078
CN(c1ccccc1)c1ccc(C(=O)NCCC2(O)CN(C(=O)C(C)(O)c3ccccc3)C2)cn1,-12.752025
Nc1ncnc2cc(C(=O)N3CC(O)(CCNC(=O)c4ccc5c(c4)NC(=O)CO5)C3)ccc12,-43.94386
Cc1ccccc1COc1ccccc1C(=O)N1CCN(C(=O)CNC(=O)NCc2ccc(Cl)cc2)CC1,-11.395865
CC(C)(CNc1cccc(Br)c1C#N)C(N)=O,-22.378084
Cc1scc(C(=O)NCCCCNC(=O)C2CC(C)(C)C2)c1C,-10.83602
O=C1CNC(=O)c2ccc(C(=O)NCC3(NC(=O)Cc4coc5cc(O)ccc45)CC3)cc2N1,-31.303399
C/C(=C/C(=O)N1CCN(C(=O)c2cc(-c3cccn3C)n[nH]2)CC1C)c1cccc(Cl)c1,-18.453859
O=C(Cn1ccccc1=O)NCC1(CNC(=O)c2ccc3cc(O)ccc3c2)CCC1,-38.869889
O=C(NC1CCCC1NC(=O)c1ccn[nH]c1=O)c1csc(-c2ccc(O)cc2)n1,-27.794136
O=C1NC(=O)C2(CCCC2CNC(=O)c2ccc(-c3cn[nH]c3)cc2)N1,-40.116937
O=C(COc1cccc2ccccc12)NC/C=C/CNC(=O)C1CCCCC1O,-20.056081
Cc1cc(-c2noc(CCC(=O)NC3CCN(C(=O)C(C)(C)NC(=O)Nc4ccccc4)CC3O)n2)ccc1F,-7.708961
NC(=O)c1ccc(/C=C/C(=O)NC2CN(C(=O)c3ccc4cn[nH]c(=O)c4c3)C2)cc1,-37.877485
Nc1ccc(C(=O)NC23CC(NC(=O)c4c[nH]c5ncncc45)(C2)C3)c2ccncc12,-32.214722
O=C(NCCC1CN(C(=O)c2ccc3ncncc3c2)C1)c1ccccc1-c1cncnc1,-31.208114
O=C(NCCC1(NC(=O)c2ccc(-n3cc[nH]c3=O)cc2)CCC1)c1ccc2c(=O)[nH][nH]c(=O)c2c1,-32.235703
O=C(NC/C=C/CNC(=O)c1ccc(-n2cc[nH]c2=O)cc1)C(=O)c1ccc(O)cc1,-37.251752
O=C(NCC1CN(C(=O)CCc2ccc(O)cc2)C1)c1ccc(-c2ccncc2)[nH]c1=O,-32.512331
Nc1ncnc2cc(C(=O)NC34CC(NC(=O)c5ccc6c(c5)CCC(=O)N6)(C3)C4)ccc12,-29.274699
NC(=O)c1ccc(/C=C/C(=O)N2CC3(C2)CN(C(=O)c2cccc4[nH]c(=O)[nH]c24)C3)o1,-32.994242
NC(=O)c1ccc(C(=O)NC2CN(C(=O)CSc3n[nH]c(=O)[nH]3)C2)cc1,-37.218961
O=C(/C=C/c1cc[nH]n1)NC1CN(C(=O)c2ccc3cc(O)ccc3c2)C1,-35.382116
Cn1ccnc1COc1cncc(C(N)=O)c1,-27.447678
CCn1nc(C)c(CC(=O)NC(CO)CNC(=O)Cn2nnc(N)n2)c1C,-22.443583
O=C(NCCNC(=O)C1CCSCC1)c1csc(-c2ccc(Cl)c(Cl)c2)n1,-19.079488
Nc1nncc(-c2cccc(C(=O)N3CC4CC3CN(C(=O)c3cn[nH]c3)C4)c2)n1,-35.825166
Cc1nc2sccn2c1CN(C)CC1OC(=O)CC1(C)C,-12.502016
O=C(NC1COCC1NC(=O)c1cc(-c2ccncc2)n[nH]c1=O)c1cn[nH]c1,-32.139731
CC(C)CCN1CC(CCO)c2ccccc21,-20.35671
O=C(NC1CC2(C1)CN(C(=O)CSc1n[nH]c(=O)[nH]1)C2)c1cn[nH]c1,-36.334164
CC(=O)N1CCN(C2CC(NC(=O)Nc3ccccc3N3CCOCC3)C2)CC1,-12.915057
NC(=O)c1ccc(C(=O)N2CC(Cn3cc(-c4ccnc(N)c4)nn3)C2)o1,-37.862193
CC(C)(C)c1cn2c(n1)C(C(=O)N1CCCCc3cc(Br)ccc31)CCC2,-11.929541
COC(CNC(=O)c1ccc2occc2c1)CNC(=O)c1cnc2ncccn12,-22.685868
O=C(NC1Cc2ccccc2C1O)C(=O)N1CCC(Cc2ccccc2F)CC1,-18.060748
O=C(Cc1coc2cc(O)ccc12)NCC1CCN1C(=O)c1ccc(-c2ccncc2)nc1,-29.710473
CCOC(=O)C(F)(F)C1(O)CCN(S(=O)(=O)c2ccc(C#N)cc2)CC1,-11.293326
Nc1nc2cc(C(=O)N3CC(=O)N(CC4CC4)C3)ccc2[nH]1,-21.216818
NC(=O)c1ccc(/C=C/C(=O)NC2CN(C(=O)c3cccc4c3OCC(=O)N4)C2)cc1,-37.965729
NC(=O)c1ccc(C(=O)N2CC(NC(=O)CNS(=O)(=O)c3c[nH]c(C(N)=O)c3)C2)cn1,-43.190624
O=C(NCC12CC1CN(C(=O)c1ccc3cn[nH]c3c1)C2)c1cc2ccc(O)cc2[nH]1,-32.517676
O=C(NC12CC1CN(C(=O)c1cccn3c(=O)[nH]nc13)C2)c1cc2ccncc2c(=O)[nH]1,-23.448383
O=C(NC1CN(C(=O)c2ccc3cn[nH]c3c2)C1)c1ccc2[nH]c(=O)[nH]c(=O)c2c1,-26.164085
O=C(NS(=O)(=O)c1c(F)ccc(F)c1F)c1ccc2c(=O)n3c(nc2c1)CCCCCC3,-12.281596
N#Cc1cnn2cc(C(=O)NC3CC(NC(=O)c4ccc(C(N)=O)cc4)C3)cnc12,-36.380238
NC(=O)c1ccc(CN(Cc2cnc(-c3ccncc3)s2)C2CC2)cc1,-35.907153
Oc1c(Cl)cc(Cl)cc1CNC(c1ccccc1)C12CC3CC(CC(C3)C1)C2,-15.583654
O=C(NC12CC(NC(=O)c3cc(-c4ccc(O)cc4)n[nH]3)(C1)C2)c1cn[nH]c1,-30.051458
Nc1ncnc2cc(C(=O)NC3CCC(NC(=O)COc4ccc5ccccc5c4)C3)ccc12,-38.174971
O=C(CNC(=O)c1ccc(O)cc1)NC1CCCCC1NC(=O)c1cn[nH]c(=O)c1,-31.969354
COc1cc(C)cc(CCNC(=O)C(=O)N2CCC(C#N)(c3ccccn3)CC2)c1,-14.27438
O=C1Cc2cc(C(=O)NC3(CNC(=O)c4cc[nH]c(=O)c4)CC3)ccc2N1,-34.764268
CCS(=O)(=O)NC(CCSC)C(=O)NC(CNC(=O)C(NC(N)=O)c1ccccc1)C(C)(C)C,-7.961659
Nc1ncnc2cc(C(=O)NCC3(NC(=O)CCn4cc[nH]c(=O)c4=O)CCCC3)ccc12,-37.274774
O=C(/C=C/c1cc[nH]c1)NC1CCCC1NC(=O)c1ccc2cn[nH]c2c1,-38.590485
NC(=O)c1ccc(/C=C/C(=O)NC2CCCC2CNC(=O)c2cccc3[nH]ncc23)o1,-33.969993
CCOC(=O)C(CCc1ccccc1)N1Cc2ccccc2-c2ccccc2C1,-14.041058
CN(C(=O)c1cccc(-n2cc[nH]c2=O)c1)C1CN(C(=O)c2ccc3[nH]c(=O)[nH]c3c2)C1,-25.374752
O=C(NCC1CCN1C(=O)c1ccccc1-c1ccncc1)c1cn[nH]c1,-28.101693
NC(=O)c1cc(S(=O)(=O)NCC(=O)NCC2(CNC(=O)c3ccnc4[nH]ccc34)CCC2)c[nH]1,-32.674213
CCCCc1ccc(C(C)C(=O)N2CC(N(C)C(=O)c3cc(-c4ccccc4Cl)no3)C2)cc1,-9.721913
Nc1ncc2c(c1C(=O)N1CC(NC(=O)c3c[nH]c4ncncc34)C1)CCC2,-35.967457
O=C(NC1CCC(CNC(=O)c2cc(Cl)cc3ccncc23)C1)c1cc2cc(O)ccc2[nH]1,-33.682036
Cn1cnc2cc(C(=O)N3CC(CNC(=O)c4ccc(C(N)=O)cc4)C3)ccc21,-33.444097
Cc1ccc2c(c1)S(=O)(=O)N(CCC(=O)Nc1cc(F)cc(F)c1)C(=O)N2,-18.97191
CCN(CCN(CC)C(=O)C1CCCC1)C(=O)CSc1nc2ccccc2n1C,-14.04172
CNC(=O)C1(C(=O)NC2CCN(C(=O)C3CCCOC3c3ccnn3C)CC2)CC1,-24.018422
CC/C=C/C=C/C(=O)NCC(C)(NC(=O)C1CCC(C)=C(C)C1)C(C)C,-14.024097
